input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
Can guarantee you Dee Mr Morrison won be laying on beach over Christmas like yourself He has shot at full term PM The kids in question will be happy as Mohammed in their new home before the irrelevant vote,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
LOL Ku Klux Klan Snowman is Dreaming of the Day of the Rope via,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Hopefully they talk about Samuel Little,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
BREAKING At least police officers reportedly shot in Philadelphia active shooter situation,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Looks like is worried Good,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Differences Between Human Races 100 Facts via,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
Who gives flying hope we don All you idiotic Climate Alarmists are in for shock if Labor wins Gov Power costs will increase beyond belief and you Lefty Peasants will wonder why It was your utter stupidity,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
Future is Nuclear,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Many thanks Since Powell not one politician in position of power has had the courage or moral fibre to stand up for the native British people who will soon be minority in their own country On their conscience be it WeHaveNoOtherHome,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
Oh ve been looking,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
She has long been breaking down barriers in the judiciary which has struggled to cast off the perception it is an old boys club overwhelmingly white male and public school educated No agendas here then,Implicit White Supremacism,Other hate Speech,Explicit White Supremacism,1,3,2,1,1,1,1
Hitler embargoed the use of poison gas even though they could have literally killed every Day soldier with it The story continues,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
Britain Non Whites Make up 87 of All Criminal Gang Suspects Say Police via,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
South Africa Jews Flipping Out About Swastikas on Campus Read more via,Implicit White Supremacism,Other hate Speech,Explicit White Supremacism,1,3,2,1,1,1,1
HA You re JOKE Biden Pres Trump did NOTHING WRONG and it is SPELLED OUT IN the TREATY WITH UKRAINE ON MUTUAL LEGAL ASSISTANCE IN CRIMINAL MATTERS Prove me wrong you LIAR,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Honour The Family,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Still waiting for an energy policy insiders auspol,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
This is impressive even for you Not single bit of truth slipped in with your lies,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
Ok not discussing it futher,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
TOTAL WE HAVE THE FBI ON YOU Wait till tomorrow when the UNMARKED VANS APPEAR to HAUL ALL OF YOU OFF TO JAIL,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
saw the avettbrothers last night at TheGorge What makes anyone think that the military would be on the side of the government anyway,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
PS flying upside down,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Polish candidate puts kippah on rival says her party kneels to Jews,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
Schmood rn,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Those are the self interested conservative types who will never be on board until we already have successful organizations up and running talking about getting to that point,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Rise Above North Lebanon,Other hate Speech,Neutral,Explicit White Supremacism,3,0,2,1,0,1,1
FB,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
see in poll this morning Kamala Harris has dropped 12 points Perhaps it because figuring out where she actually stands is like nailing jello to wall,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
You mean like making the punks making noise and making RACIST claims that the area is Black Space,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
It all Toxic masculinity this and like fish needs bicycle that and manspreading here and cargoshorts there until you need truck flipped Brought to you by your local chromosomes,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
still want to believe with everything that has happened that there something called Justice Jussie Smollett It would be shame if this went viral,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
Congratulations brother know it sounds cliche but you do certainly deserve it You re White man who genuinely sincerely cares about your people your land and that sincerity shines through in all of your videos Plus your accent is righteous,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Reece is Flog,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Kicking arse together somewhere in galaxy far far away,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
DON CALL YOURSELF NATIONAL SOCIALIST IF YOU DON HAVE THE SWASTIKA MEASUREMENTS MEMORIZED,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
Too much to test each,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Don miss my latest video Things That Make You Far Right Extremist If you agree with these points you are radical far right wing extremist Countdown of what makes you FAR RIGHT EXTREMIST starts at 50 if you just can not wait for it,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
Victims of Communism Foundation event in the Senate office building last week China Shipbuilding Inc builds china warships raised billion through SocGen to begin building second aircraft carrier US investment funds were the largest buyers This MUST STOP china,Other hate Speech,Explicit White Supremacism,Neutral,3,2,0,1,1,0,1
Put me in Coach,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Important thread about Twitter helping the violent Left by punishing those who expose their threats This is obscene Bravo for standing up to them Ryan,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
Sometimes the constant disappointments get exhausting but God is the only way through any trial amp,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
BREAKING Kenyan Government Releases Obama Real Birth Certificate VERY POSSIBLE SURE,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
You know what to do,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Adam Schiff should only be so lucky to have the brains honor and strength of Secretary of State Mike Pompeo For lowlife like Schiff who completely fabricated my words and read them to Congress as though they were said by me to demean First in Class at West Point is SAD,Implicit White Supremacism,Implicit White Supremacism,Other hate Speech,1,1,3,1,1,1,1
knew that just thought would put the evidence of her Christianity up,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
In what context regard,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
You Nan is HERO Thank you Ann,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
city searches for French speakers lmao,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
sure there other reasons we re unaware of,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
trying my best,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
So what in the ever loving are you trying to say,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
If Jews Leave Europe will Face Economic Disaster Jewish Leader Warns Read more,Other hate Speech,Explicit White Supremacism,Other hate Speech,3,2,3,1,1,1,1
You mean another FAILED DEMOCRAT CITY Truth sucks DOES IT NOT,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
Literally impossible,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
sure,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
We don have to rely just on source documents There should still be physical evidence for such an enormously massive slaughter which any honest investigation would uncover but they won allow it,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
If immigration multiculturalism made ancient Rome so great why Rome fall at the exact time when it was the most diverse Diversity multiculturalism utterly destroyed ancient Rome Without exception every multi racial nation throughout history ended catastrophically,Implicit White Supremacism,Other hate Speech,Neutral,1,3,0,1,1,0,1
America WAS people not an idea,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Notice what they did,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Vision without execution is hallucination Thomas Edison,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Gary It pronounced Vice Versa NOT Vicer Verser,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The promise of Free Stuff being made by socialist Democrats today is exactly like the promises made by Che Guevara aka The Butcher before his revolution Instead of wearing his face on your shirts open history book Here lesson one,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
am not nihilistic ill have family lol But am realistic and do not want betas signing up with thots MGTOW will pop the feminine imperative bubble faster bring forward correction Beta signing up to thots just perpetuates cycle of damage,Other hate Speech,Explicit White Supremacism,Other hate Speech,3,2,3,1,1,1,1
Only whites are blamed for slavery,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
True statement,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Next will be Indigenous then Moozlimb Quota If we get to that you may as well just hand it all over to UN,Other hate Speech,Explicit White Supremacism,Neutral,3,2,0,1,1,0,1
If police were able to remove this criminals skeleton mask from video and arrest him they should be able to do wonders with the girls assaulting this poor old lady have forward this video on to them,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
26 05 2012 White Unity Gig With US German Slovak And Hungarian Bands Please forward to all known Patriots,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
LiarFromTheShire says GladysLiuMP is great Australian Yet ve never heard of any great Australians changing their name times What is really going on here auspol GladysMustGo ShanghaiSam,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
We shrugged off the Constitutionality of affirmative action by suggesting it would only need another generation to work out but for some reason those dratted racial differences just refuse to go away So get used to legal discrimination until the Promised Day arrives,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
No did not work someone has reported it and my guess is feminist who did not like the blonde bit lol,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
As some of you may know my mother passed away suddenly this previous winter So this will be the first Mother Day ve lived through without her Her loss is still struggle for me thinking out loud via writing has helped Thinking of my mother,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
Today May 4th is International Firefighters Day We remember all of those who put their lives on the line to save others and are grateful to those who continue to do so 24 365 We love our great firefighters thank you ThankAFirefighter,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Debates2016 Elections2016 WakeUpAmerica,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
This is what 70 years of Communist rule looks like in China freedom is trampled and dissent is silenced other lawmakers react to HongKongPolice shooting of teen protester HongKongProtests HKPolice HK,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
The McSpencer Group September 19 2019 The geopolitics of impeachment and why Greta is right,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Agree Self interest not NZ interest WinstonPeters,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
That morbid obese THING is THE POSTER SWINE for everything WRONG with the DNC,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
The greatest leader the Brits never had sad days,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Tucker Carlson says Democrats support migrants because they have vested interest in changing the population,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
YOU JUST CAN MAKE THIS STUFF UP,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Gef ngnis Obama Familie Clinton Podesta,Explicit White Supremacism,Explicit White Supremacism,Other hate Speech,2,2,3,1,1,1,1
Well that happened,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
America is great because it doesn belong to its citizens,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
In honor of WomensEqualityDay my wife recorded Sam Jim Show podcast We featured the following articles on debate on US Taliban peace talks between Lt Col Tony Shaffer amp,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
How come you did not protest the OBAMA PROGRAM that let the shooter RUN FREE from the cops and allowed the shooter to kill Here is the proof YOU would rather let people die than show OBAMA PROGRAMS KILLED THEM,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
If White person had black ancestry would you credit all of their accomplishments in life to their black or their White 98 So why do people credit all modern human greatness on mere Neanderthal admixture That total departure from logic and reason,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
Pity he is zio shill that throws real nationalists under the bus,Explicit White Supremacism,Other hate Speech,Implicit White Supremacism,2,3,1,1,1,1,1
There was 000 other ways to have made comment instead of Lack of diversity Alert,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
mon Joe Telling an outright lie is just Sad Trump never asked for any election interference actually asked for an investigation into 2016 election interference,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
No doubt some get divorced,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
And they sold out of straws We re laughing at you clowns All the way to his second inauguration,Implicit White Supremacism,Other hate Speech,Implicit White Supremacism,1,3,1,1,1,1,1
Shocking He said something close to the truth,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
Slippery Zali Steggall Bill Shorten will crush tradies farmers and families by flooding the marketplace with expensive EVs that take HOURS to charge Greenie elitists like Steggall and Shorten may be able to afford such time wastage most Australians cannot WarringahVotes,Other hate Speech,Explicit White Supremacism,Neutral,3,2,0,1,1,0,1
Omg no Legal immigration is turning America into shi thole,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Farter Bob is TodaysArseClown,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
Mike Please do not use FACTS with LIE BERALS It makes their heads explode,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
It just like the Boston Tea Party If they were throwing Jews in the harbor,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Or he could point out your background check bill is just good feelz amp,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Yeah he did not like my Siegepilled Dale Gribble sorry about that one,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Gandhi Not woke Cancelled,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
Isn it great All we need is Farage to form coalition with Boris Trump 2020 and Dutton Morrison securing Australian borders Glad you have seen the light,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
It an interesting question for white people would you trade all of the joys of diversity for the opportunity to never be called racist again,Other hate Speech,Explicit White Supremacism,Other hate Speech,3,2,3,1,1,1,1
WHY is Dr Carol Baker allowed to teach at when she advocates GENOCIDE against WHITES,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
That would be the Chinese,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The land is not suitable for housing Just Saying,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
In July 1945 the Americans cleared out the swathes of German militaria however Tiger 213 was bought by Madame Jenny Geenen Dewez from the American troops for bottle of Cognac via,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
Lammy is not showing compassion for anyone He inciting hatred of whites,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
OrwellWeeps,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
She got an odd way of showing it,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
Thank you for publicly proving you have zero respect for In America,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Burn the coal pay the toll Greta Thunberg,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Good early morning,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
Disturbing,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
He back TommyRobinson,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
The highest degree of supremacy that anyone can achieve is the belief that they are chosen by God Simon Roche of the is live on No White Guilt right now,Other hate Speech,Explicit White Supremacism,Explicit White Supremacism,3,2,2,1,1,1,1
Cause no more baby equals dead little human,Neutral,Other hate Speech,Other hate Speech,0,3,3,0,1,1,1
Hey Hever Billy Bullsheet asked what troll means Is it people who pay tax,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
Their characters have been shredded in the courts in the tribunals in their appeals and reviews because they were exposed for telling so many lies Read the high court transcripts and the tribunal and appeals They told lie after lie they have played the Biloela locals sadly,Implicit White Supremacism,Other hate Speech,Other hate Speech,1,3,3,1,1,1,1
Young white kids are not grown up pampered They re brought up in toxic environment where they re not even allowed childhood Watch BBC videos of transgender education for kids Read about rape torture of 100 of 1000 See how they re made to feel guilty for being white,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
It can be starting point to explain that differences in outcomes between races has better explanation than white exploitation Whites care for fairness and this will allow them to see the differences as fair Other than that it is not important for our cause,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
What caused the Washington State attack on an ICE facility Do you bear any responsibility for that perpetrator using your rhetoric of detention camps Asking for Americans who don exploit tragedy for political purposes ends,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Wow just got but to be honest this one belongs to the great Autists on the Chans Bake 5437 Post No 4267800 Yup learned the hard way not to link to the Chans WWG1WGA Qanon MAGA GreatAwakening,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
Second about their Eurocentric focus on slavery despite it being worldwide evil,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Two dozen Israeli allies we re taken out just the other day Israel retaliates as it so often does with attacks against civilians,Neutral,Other hate Speech,Other hate Speech,0,3,3,0,1,1,1
Bless you So many non Westerners have told me that while tons of Westerners think our system is evil and should be destroyed They really don realize how good they have it,Implicit White Supremacism,Other hate Speech,Implicit White Supremacism,1,3,1,1,1,1,1
The YOGscast,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Yep just what we need LIAR who filed FRAUDULENT claim that she was minority to get job at liberal college,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
Did you take down the offending post,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
Yang will not save us from zero interaction and mechanized life His proposals mitigate the economic turmoil on workers over the loss of jobs to automation and provides base security net This does not solve the problem of alienation technology presents,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
Since Iran fired the first several dozen shots in multiple attacks Who exactly would be staring anything And no one is contemplating war But military response to six month spree of terror strikes against civilian targets Seems quite reasonable And necessary,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Come on my YouTube and inform Australians of your incredible story Sister in Christ,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Jeffrey Epstein Death Guards Slept Through Checks and Falsified Records,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
When the white pill is actually cyanide,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
This is Incredible Brilliant The favorite hypocrisy of the media Left,Implicit White Supremacism,Other hate Speech,Implicit White Supremacism,1,3,1,1,1,1,1
Happy 4th of July,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
There already massive target on my back ve done two shows already,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
Seems as ever different views are strongly held by all Maybe we could agree to disagree on this one,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
aware the Left looks at compromise as an opening But they will try to ban semi autos large capacity mags They ll want the 20 30 rd ones But We can point to Heller say Nope these are in common use We can not say that about 100 rd ones So why not win some good PR,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Why don you talk about the Victorianpolice that tell public to ignore African Gangs in Melbourne Just let them take your car invade your home steal assault vandalise your property You are weak person and terrible leader Anyone that votes Labor is complete Imbecile,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
And there you have it the pretext for red flag laws served up on silver platter like well written script,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
The boomer and his buddy stumble onto something that blows their minds Globo what,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
Nice missile program you ve got there Iran Be shame if all the rest of it turned to smoking rubble This tweet does not damage any US Intel sources methods It simply reminds the Mullahs IRGC we are always watching we do not approve,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
Because of low birthrates doesn justify white genocide Because of history doesn justify white genocide You are trying to justify the genocide of indigenous Europeans That evil,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Seems like you re just trying to do guilt by association thing and your only problem is with who the host has associated with It also not white supremacist podcast,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
invite people to read the actual resolution as have done with legal experts and serving politicians appalled at the implications Senator Corman is entitled to make his assertions but the text is the text,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Israel can only exist with ish support from Western countries particularly the US Therefore the ish presence and influence in Western countries must be protected Therefore the nationalist threat must be neutralized Therefore you must get multiculturalized,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
it me Elizabeth suspended for days Can you vet me and and get me some followers,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
For those astonished by the utter chaos in British Politics here is brief explanation 11 Judges used Continental tradition of Positive Law to declare something the UK Prime Minister did was unlawful despite the fact they cited no law that he was supposed to have broken,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
want conservatives eating out of dumpsters this is my ideology,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
often wonder when the second coming of Christ will be but it seems merely waiting on damn cat to move,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Plenty of Tax paying Australians that can access The best medical treatment available don work 60 hour weeks for FILTH like you to determine Australian border security and who deserves help Do you have fences around your houses If yes Why,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
concern,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Restore personal freedom and free speech Make affordable homeownership national priority Counter the growing threat of China both outside and within Australia Slash runaway government spending and with it taxes on productive enterprises,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
can assure you the shortsightedness is entirely yours He was not expanding his empire He only invaded Poland because Poles were slaughtering ethnic Germans and refused to even respond to Hitler attempt to talk The Allies were looking for any excuse for war,Other hate Speech,Explicit White Supremacism,Implicit White Supremacism,3,2,1,1,1,1,1
The purpose of the book this writer has been made famous for is to inform us that they are coming to take everything we have as vengeance for what they ve been told few of our kind did centuries ago,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
America power grids power our lives but it was never built with attacks in mind has vulnerabilities Cyber attacks geomagnetic storms nuclear detonations etc all could shut down our grid and sow chaos So what is being done to counter this threat,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
AUSTRALIAN FEDERAL POLICE me being offered green light by NSW police to sell drugs amp,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
If you or broke the law the same thing would happen to us,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
How to hack democracy Multiculturalism has reduced the idea of pluribus unum to regressive tribalism via,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
But Twitter staff does not like me,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Except when the person who would absolutely be convicted is an important connected Democrat tons of dirt on everyone else Then you punt See Clinton Hillary,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
we are going to have an Election very shortly Rep Jeff Van Drew Democrat of New Jersey Thank you Just another Witch Hunt by Nancy Pelosi and the Do Nothing Democrats,Neutral,Explicit White Supremacism,Other hate Speech,0,2,3,0,1,1,1
The Christmas Island detention center has undergone quite lot of renovations since your photo was taken Their legal avenues have been exhausted further action must be approved by the High Court and as they have already heard the case highly likely they will not rehear it,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Obama is the worst President we ever had from spying on his successor to not going away like all Presidents before him If he cared about the nation he tell his left wing radicals to stop shooting people but instead he blames you and us He is poison,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Always brother,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Tearing down history is what the Taliban and ISIS did This is terrorism against the white minority students and their culture,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Don trust the new tweets of Imam Tawhidi as he has been hacked,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Dems see every election as step toward changing society Their last president vowed to fundamentally transform America and he did The people who made real effort to stop him did not find enough battle ready allies in the GOP They found lots of grifters and opportunists,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Proud to announce that am joining in Katter Australia Party Here together we will continue to fight for regional Queensland and uphold traditional values whilst working on much needed reforms in immigration and infrastructure for rural Queensland,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
Bronze Age Pervert is BACK NWO can not keep me down Major Swedish newspaper Aftonbladet published piece on my book Leftist BUT they re quite nice to me This is big deal for few reasons ask you to RETWEET and visit the article even if in Swedish,Other hate Speech,Other hate Speech,Implicit White Supremacism,3,3,1,1,1,1,1
That actually pretty awesome,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
heh Spencer is one of the few that remains consistent 2018 was uninteresting re pushing in public manner but the number of people coming to our ideas grows constantly,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
If you take just one look at this structure you ll immediately know with 100 certainty that it is not the cultural expression of White people Because race is real and race determines the nature of creative expression Pure culture comes only from pure race,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
When did Minneapolis turn into Mogadishu,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Here wishing YOU sir 4th of July SALUTE Keep up the good fight,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
They already hate They re just beginning to feel the inner calling to unify and organize Once enough White people start setting the example by fighting back hard enough more will respond similarly They just need to be reminded that they can in fact defend themselves,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
Is there plan for after POTUS What do you think Trump4EVA really means Is Trump our last president Pics related,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Yep they are in total meltdown over StraightPrideParade Lots of ANTIFA arrested as well,Implicit White Supremacism,Other hate Speech,Other hate Speech,1,3,3,1,1,1,1
can not see it The account is locked,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
PARENTS HELLO The is publishing their 1619project as curriculum for schools now So your kids will be taught that America is racist evil That called indoctrination It based on historical LIES Why are not conservatives fighting back in public schools,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
Spare me the bullshit about how the Tamil family were making valuable contribution to Australia Dad packed meat Mum did not work Received large sums of welfare Over 1million of our spent on legal challenges Still need to use English translators Contribution DEPO,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Angus Taylor must be removed from his energy portfolio he has been total failure when he was given it he said he would get elect prices down with his big stick that was years ago and all we have got from him is stalling tactics SackTheBastered,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
